0.02,0.05,0.2308756194075639
0.02,0.1,0.12747442101358705
0.02,0.15,0.056532867169640455
0.02,0.2,-0.025806749843999888
0.02,0.25,0.012986501998126385
0.02,0.3,-0.005139394597989913
0.02,0.35,-0.03578965490294647
0.02,0.4,-0.07991857293909121
0.04,0.05,0.28058966046048106
0.04,0.1,0.06642081786178303
0.04,0.15,-0.026685087792336165
0.04,0.2,-0.04509561791105696
0.04,0.25,-0.10459357878255374
0.04,0.3,-0.1304994024872108
0.04,0.35,-0.14161784764711524
0.04,0.4,-0.16544455499763955
0.06,0.05,0.3027424980435627
0.06,0.1,0.15103008608190666
0.06,0.15,-0.053779544142652236
0.06,0.2,-0.18237827736698844
0.06,0.25,-0.13906920020778565
0.06,0.3,-0.19267123486305127
0.06,0.35,-0.2281658927750874
0.06,0.4,-0.2864768591924551
0.08,0.05,0.3327492453897274
0.08,0.1,0.18400705785820182
0.08,0.15,0.03361669627517479
0.08,0.2,-0.0980440499021065
0.08,0.25,-0.13703007581021795
0.08,0.3,-0.2166226733816537
0.08,0.35,-0.28831897009019414
0.08,0.4,-0.1952282201711298
0.1,0.05,0.3455760479183273
0.1,0.1,0.2395986749698418
0.1,0.15,0.057928619027051376
0.1,0.2,-0.1206005292828228
0.1,0.25,-0.22807941635242676
0.1,0.3,-0.2421072949612048
0.1,0.35,-0.2965297789559627
0.1,0.4,-0.3132412823499988
0.02,0.05,0.2258938573355398
0.02,0.1,0.09790909681046032
0.02,0.15,0.02461652828083849
0.02,0.2,0.038452468065392195
0.02,0.25,-0.03012143943511894
0.02,0.3,0.06797323662002644
0.02,0.35,-0.023648366855646114
0.02,0.4,-0.019955352116594716
0.04,0.05,0.270282577401865
0.04,0.1,0.10359006114544908
0.04,0.15,-0.01738353418258698
0.04,0.2,-0.04577845735315039
0.04,0.25,-0.15898034392230154
0.04,0.3,-0.10367786826386804
0.04,0.35,-0.18845632850257574
0.04,0.4,-0.11337513106879843
0.06,0.05,0.31746270527647413
0.06,0.1,0.12073041747924362
0.06,0.15,-0.02017435710174037
0.06,0.2,-0.061526781266871305
0.06,0.25,-0.19589652584394174
0.06,0.3,-0.1590453426381758
0.06,0.35,-0.27509692308216543
0.06,0.4,-0.2743967124814033
0.08,0.05,0.34074587668733736
0.08,0.1,0.18299019065264877
0.08,0.15,0.012929890612755249
0.08,0.2,-0.13686441930923948
0.08,0.25,-0.1988252751941824
0.08,0.3,-0.19227306516548387
0.08,0.35,-0.2360647082720853
0.08,0.4,-0.2949551344564909
0.1,0.05,0.34206457701808685
0.1,0.1,0.24870096466331934
0.1,0.15,0.06082639124084911
0.1,0.2,-0.07963539397215644
0.1,0.25,-0.0934671066639362
0.1,0.3,-0.3158096547048388
0.1,0.35,-0.2446435137428198
0.1,0.4,-0.31402682006804283
